TOKEN-TYPE          TOKEN-VALUE
-------------------------------------------------
Token_Read          read
T_Identifier        x
Token_Sem           ;
Token_If            if
Toker_Integer       0
Token_Le            <
T_Identifier        x
Token_Then          then
T_Identifier        fact
Token_War           :=
Toker_Integer       1
Token_Sem           ;
Token_Repeat        repeat
T_Identifier        fact
Token_War           :=
T_Identifier        fact
Token_Mul           *
T_Identifier        x
Token_Sem           ;
T_Identifier        x
Token_War           :=
T_Identifier        x
Token_Minus         -
Toker_Integer       1
Token_Until         until
T_Identifier        x
Token_Eq            =
Toker_Integer       0
Token_Sem           ;
Token_Write         write
T_Identifier        fact
Token_End           end
